Title,Authors,Category,Link
Causal Abstractions; Categorically Unified,Markus Englberger; Devendra Singh Dhami,N/A,https://arxiv.org/abs/2510.05033
Inoculation Prompting: Instructing LLMs to misbehave at train-time improves test-time alignment,Nevan Wichers; Aram Ebtekar; Ariana Azarbal; Victor Gillioz; Christine Ye; Emil Ryd; Neil Rathi; Henry Sleight; Alex Mallen; Fabien Roger; Samuel Marks,N/A,https://arxiv.org/abs/2510.05024
Rethinking Langevin Thompson Sampling from A Stochastic Approximation Perspective,Weixin Wang; Haoyang Zheng; Guang Lin; Wei Deng; Pan Xu,N/A,https://arxiv.org/abs/2510.05023
Comparing fine-tuning strategies of MACE machine learning force field for modeling Li-ion diffusion in LiF for batteries,Nada Alghamdi; Paolo de Angelis; Pietro Asinari; Eliodoro Chiavazzo,cond-mat.mtrl-sci,https://arxiv.org/abs/2510.05020
Exploring the Efficacy of Modified Transfer Learning in Identifying Parkinson's Disease Through Drawn Image Patterns,Nabil Daiyan; Md Rakibul Haque,cs.CV,https://arxiv.org/abs/2510.05015
Think Then Embed: Generative Context Improves Multimodal Embedding,Xuanming Cui; Jianpeng Cheng; Hong-you Chen; Satya Narayan Shukla; Abhijeet Awasthi; Xichen Pan; Chaitanya Ahuja; Shlok Kumar Mishra; Qi Guo; Ser-Nam Lim; Aashu Singh; Xiangjun Fan,cs.AI,https://arxiv.org/abs/2510.05014
Curiosity-Driven Co-Development of Action and Language in Robots Through Self-Exploration,Theodore Jerome Tinker; Kenji Doya; Jun Tani,N/A,https://arxiv.org/abs/2510.05013
Latent Uncertainty Representations for Video-based Driver Action and Intention Recognition,Koen Vellenga; H. Joe Steinhauer; Jonas Andersson; Anders Sjögren,cs.CV,https://arxiv.org/abs/2510.05006
Reinforce-Ada: An Adaptive Sampling Framework for Reinforce-Style LLM Training,Wei Xiong; Chenlu Ye; Baohao Liao; Hanze Dong; Xinxing Xu; Christof Monz; Jiang Bian; Nan Jiang; Tong Zhang,N/A,https://arxiv.org/abs/2510.04996
Power Transform Revisited: Numerically Stable; and Federated,Xuefeng Xu; Graham Cormode,N/A,https://arxiv.org/abs/2510.04995
Adaptive Memory Momentum via a Model-Based Framework for Deep Learning Optimization,Kristi Topollai; Anna Choromanska,N/A,https://arxiv.org/abs/2510.04988
What your brain activity says about you: A review of neuropsychiatric disorders identified in resting-state and sleep EEG data,J. E. M. Scanlon; A. Pelzer; M. Gharleghi; K. C. Fuhrmeister; T. Köllmer; P. Aichroth; R. Göder; C. Hansen; K. I. Wolf,cs.NE,https://arxiv.org/abs/2510.04984
AWARE; Beyond Sentence Boundaries: A Contextual Transformer Framework for Identifying Cultural Capital in STEM Narratives,Khalid Mehtab Khan; Anagha Kulkarni,cs.CL,https://arxiv.org/abs/2510.04983
Federated Computation of ROC and PR Curves,Xuefeng Xu; Graham Cormode,N/A,https://arxiv.org/abs/2510.04979
StructuralDecompose: A Modular Framework for Robust Time Series Decomposition in R,Allen Daniel Sunny,N/A,https://arxiv.org/abs/2510.04974
Pivotal CLTs for Pseudolikelihood via Conditional Centering in Dependent Random Fields,Nabarun Deb,math.ST,https://arxiv.org/abs/2510.04972
Embracing Discrete Search: A Reasonable Approach to Causal Structure Learning,Marcel Wienöbst; Leonard Henckel; Sebastian Weichwald,N/A,https://arxiv.org/abs/2510.04970
Feasibility-Aware Decision-Focused Learning for Predicting Parameters in the Constraints,Jayanta Mandi; Marianne Defresne; Senne Berden; Tias Guns,N/A,https://arxiv.org/abs/2510.04951
Mind Your Tone: Investigating How Prompt Politeness Affects LLM Accuracy (short paper),Om Dobariya; Akhil Kumar,cs.CL,https://arxiv.org/abs/2510.04950
A First Context-Free Grammar Applied to Nawatl Corpora Augmentation,Juan-José Guzmán-Landa; Juan-Manuel Torres-Moreno; Miguel Figueroa-Saavedra; Ligia Quintana-Torres; Martha-Lorena Avendaño-Garrido; Graham Ranger,cs.CL,https://arxiv.org/abs/2510.04945
On Structured State-Space Duality,Jerry Yao-Chieh Hu; Xiwen Zhang; Weimin Wu; Han Liu,N/A,https://arxiv.org/abs/2510.04944
Surface Acoustic Wave Gas Sensors: Innovations in Functional Materials; Sensing Dynamics; and Signal Analysis,Suman Acharya; Balasubramanian Srinivasan; David Shanahan; Utz Roedig; Alan O Riordan; Veda Sandeep Nagaraja,physics.app-ph,https://arxiv.org/abs/2510.04940
Unsupervised Active Learning via Natural Feature Progressive Framework,Yuxi Liu; Catherine Lalman; Yimin Yang,cs.CV,https://arxiv.org/abs/2510.04939
ONNX-Net: Towards Universal Representations and Instant Performance Prediction for Neural Architectures,Shiwen Qin; Alexander Auras; Shay B. Cohen; Elliot J. Crowley; Michael Moeller; Linus Ericsson; Jovita Lukasik,N/A,https://arxiv.org/abs/2510.04938
Discrete scalar curvature as a weighted sum of Ollivier-Ricci curvatures,Abigail Hickok; Andrew J. Blumberg,cs.DM,https://arxiv.org/abs/2510.04936
MARS: Optimizing Dual-System Deep Research via Multi-Agent Reinforcement Learning,Guoxin Chen; Zile Qiao; Wenqing Wang; Donglei Yu; Xuanzhong Chen; Hao Sun; Minpeng Liao; Kai Fan; Yong Jiang; Penguin Xie; Wayne Xin Zhao; Ruihua Song; Fei Huang,cs.AI,https://arxiv.org/abs/2510.04935
The Geometry of Truth: Layer-wise Semantic Dynamics for Hallucination Detection in Large Language Models,Amir Hameed Mir,cs.CL,https://arxiv.org/abs/2510.04933
Egalitarian Gradient Descent: A Simple Approach to Accelerated Grokking,Ali Saheb Pasand; Elvis Dohmatob,N/A,https://arxiv.org/abs/2510.04930
Federated Self-Supervised Learning for Automatic Modulation Classification under Non-IID and Class-Imbalanced Data,Usman Akram; Yiyue Chen; Haris Vikalo,N/A,https://arxiv.org/abs/2510.04927
Set to Be Fair: Demographic Parity Constraints for Set-Valued Classification,Eyal Cohen; Christophe Denis; Mohamed Hebiri,N/A,https://arxiv.org/abs/2510.04926
REN: Anatomically-Informed Mixture-of-Experts for Interstitial Lung Disease Diagnosis,Alec K. Peltekian; Halil Ertugrul Aktas; Gorkem Durak; Kevin Grudzinski; Bradford C. Bemiss; Carrie Richardson; Jane E. Dematte; G. R. Scott Budinger; Anthony J. Esposito; Alexander Misharin; Alok Choudhary; Ankit Agrawal; Ulas Bagci,cs.CV,https://arxiv.org/abs/2510.04923
Data-driven linear solver selection and performance tuning for multiphysics simulations in porous media,Yury Zabegaev; Inga Berre; Eirik Keilegavlen,math.NA,https://arxiv.org/abs/2510.04920
Comparative Analysis of YOLOv5; Faster R-CNN; SSD; and RetinaNet for Motorbike Detection in Kigali Autonomous Driving Context,Ngeyen Yinkfu; Sunday Nwovu; Jonathan Kayizzi; Angelique Uwamahoro,cs.CV,https://arxiv.org/abs/2510.04912
Glocal Information Bottleneck for Time Series Imputation,Jie Yang; Kexin Zhang; Guibin Zhang; Philip S. Yu; Kaize Ding,N/A,https://arxiv.org/abs/2510.04910
How Different from the Past? Spatio-Temporal Time Series Forecasting with Self-Supervised Deviation Learning,Haotian Gao; Zheng Dong; Jiawei Yong; Shintaro Fukushima; Kenjiro Taura; Renhe Jiang,N/A,https://arxiv.org/abs/2510.04908
DP-HYPE: Distributed Differentially Private Hyperparameter Search,Johannes Liebenow; Thorsten Peinemann; Esfandiar Mohammadi,N/A,https://arxiv.org/abs/2510.04902
Focused Skill Discovery: Learning to Control Specific State Variables while Minimizing Side Effects,Jonathan Colaço Carr; Qinyi Sun; Cameron Allen,N/A,https://arxiv.org/abs/2510.04901
Benchmarking M-LTSF: Frequency and Noise-Based Evaluation of Multivariate Long Time Series Forecasting Models,Nick Janßen; Melanie Schaller; Bodo Rosenhahn,N/A,https://arxiv.org/abs/2510.04900
HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,Zheng Xiong; Kang Li; Zilin Wang; Matthew Jackson; Jakob Foerster; Shimon Whiteson,cs.RO,https://arxiv.org/abs/2510.04898
Effect of ice nucleating proteins on the structure-property relationships of ice: A molecular dynamics study,A. K. Shargh; C. D. Stiles; J. A. El-Awady,cond-mat.soft,https://arxiv.org/abs/2510.04892
SocialHarmBench: Revealing LLM Vulnerabilities to Socially Harmful Requests,Punya Syon Pandey; Hai Son Le; Devansh Bhardwaj; Rada Mihalcea; Zhijing Jin,cs.CL,https://arxiv.org/abs/2510.04891
Revealing Interconnections between Diseases: from Statistical Methods to Large Language Models,Alina Ermilova; Dmitrii Kornilov; Sofia Samoilova; Ekaterina Laptenkova; Anastasia Kolesnikova; Ekaterina Podplutova; Senotrusova Sofya; Maksim G. Sharaev,N/A,https://arxiv.org/abs/2510.04888
RL Is a Hammer and LLMs Are Nails: A Simple Reinforcement Learning Recipe for Strong Prompt Injection,Yuxin Wen; Arman Zharmagambetov; Ivan Evtimov; Narine Kokhlikyan; Tom Goldstein; Kamalika Chaudhuri; Chuan Guo,cs.CR,https://arxiv.org/abs/2510.04885
CLEAR-IR: Clarity-Enhanced Active Reconstruction of Infrared Imagery,Nathan Shankar; Pawel Ladosz; Hujun Yin,cs.RO,https://arxiv.org/abs/2510.04883
Flow-Matching Based Refiner for Molecular Conformer Generation,Xiangyang Xu; Hongyang Gao,N/A,https://arxiv.org/abs/2510.04878
BenthiCat: An opti-acoustic dataset for advancing benthic classification and habitat mapping,Hayat Rajani; Valerio Franchi; Borja Martinez-Clavel Valles; Raimon Ramos; Rafael Garcia; Nuno Gracias,cs.CV,https://arxiv.org/abs/2510.04876
Less is More: Recursive Reasoning with Tiny Networks,Alexia Jolicoeur-Martineau,N/A,https://arxiv.org/abs/2510.04871
Video Game Level Design as a Multi-Agent Reinforcement Learning Problem,Sam Earle; Zehua Jiang; Eugene Vinitsky; Julian Togelius,cs.AI,https://arxiv.org/abs/2510.04862
A Clinical-grade Universal Foundation Model for Intraoperative Pathology,Zihan Zhao; Fengtao Zhou; Ronggang Li; Bing Chu; Xinke Zhang; Xueyi Zheng; Ke Zheng; Xiaobo Wen; Jiabo Ma; Yihui Wang; Jiewei Chen; Chengyou Zheng; Jiangyu Zhang; Yongqin Wen; Jiajia Meng; Ziqi Zeng; Xiaoqing Li; Jing Li; Dan Xie; Yaping Ye; Yu Wang; Hao Chen; Muyan Cai,N/A,https://arxiv.org/abs/2510.04861
Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,Siwei Han; Jiaqi Liu; Yaofeng Su; Wenbo Duan; Xinyuan Liu; Cihang Xie; Mohit Bansal; Mingyu Ding; Linjun Zhang; Huaxiu Yao,N/A,https://arxiv.org/abs/2510.04860
ERDE: Entropy-Regularized Distillation for Early-exit,Martial Guidez; Stefan Duffner; Yannick Alpou; Oscar Röth; Christophe Garcia,cs.CV,https://arxiv.org/abs/2510.04856
Synthesising Counterfactual Explanations via Label-Conditional Gaussian Mixture Variational Autoencoders,Junqi Jiang; Francesco Leofante; Antonio Rago; Francesca Toni,N/A,https://arxiv.org/abs/2510.04855
LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation,Dongge Han; Camille Couturier; Daniel Madrigal Diaz; Xuchao Zhang; Victor Rühle; Saravan Rajmohan,cs.AI,https://arxiv.org/abs/2510.04851
Chasing Anharmonicities in Polarization-Orientation Raman Spectra of Acene Crystals with Machine Learning,Paolo Lazzaroni; Shubham Sharma; Mariana Rossi,cond-mat.mtrl-sci,https://arxiv.org/abs/2510.04843
Distributionally Robust Causal Abstractions,Yorgos Felekis; Theodoros Damoulas; Paris Giampouras,N/A,https://arxiv.org/abs/2510.04842
Beyond Random: Automatic Inner-loop Optimization in Dataset Distillation,Muquan Li; Hang Gou; Dongyang Zhang; Shuang Liang; Xiurui Xie; Deqiang Ouyang; Ke Qin,cs.CV,https://arxiv.org/abs/2510.04838
Bond-Centered Molecular Fingerprint Derivatives: A BBBP Dataset Study,Guillaume Godin,N/A,https://arxiv.org/abs/2510.04837
On the Hardness of Learning Regular Expressions,Idan Attias; Lev Reyzin; Nathan Srebro; Gal Vardi,N/A,https://arxiv.org/abs/2510.04834
On Predicting Post-Click Conversion Rate via Counterfactual Inference,Junhyung Ahn; Sanghack Lee,N/A,https://arxiv.org/abs/2510.04816
A Noise Resilient Approach for Robust Hurst Exponent Estimation,Malith Premarathna; Fabrizio Ruggeri; Dixon Vimalajeewa,N/A,https://arxiv.org/abs/2510.04811
Learning on the Job: Test-Time Curricula for Targeted Reinforcement Learning,Jonas Hübotter; Leander Diaz-Bone; Ido Hakimi; Andreas Krause; Moritz Hardt,N/A,https://arxiv.org/abs/2510.04786
Electronic and thermal properties of the phase-change memory material; Ge2Sb2Te5; and results from spatially resolved transport calculations,Kishor Nepal; Aashish Gautam; Ridwan Hussein; Konstantinos Konstantinou; Stephen. R. Elliott; Chinonso Ugwumadu; David A. Drabold,cond-mat.mtrl-sci,https://arxiv.org/abs/2510.04783
Kernel ridge regression under power-law data: spectrum and generalization,Arie Wortsman; Bruno Loureiro,N/A,https://arxiv.org/abs/2510.04780
MetaMP: Seamless Metadata Enrichment and AI Application Framework for Enhanced Membrane Protein Visualization and Analysis,Ebenezer Awotoro; Chisom Ezekannagha; Florian Schwarz; Johannes Tauscher; Dominik Heider; Katharina Ladewig; Christel Le Bon; Karine Moncoq; Bruno Miroux; Georges Hattab,N/A,https://arxiv.org/abs/2510.04776
Distribution Preference Optimization: A Fine-grained Perspective for LLM Unlearning,Kai Qin; Jiaqi Wu; Jianxiang He; Haoyuan Sun; Yifei Zhao; Bin Liang; Yongzhe Chang; Tiantian Zhang; Houde Liu,N/A,https://arxiv.org/abs/2510.04773
Federated Learning for Surgical Vision in Appendicitis Classification: Results of the FedSurg EndoVis 2024 Challenge,Max Kirchner; Hanna Hoffmann; Alexander C. Jenke; Oliver L. Saldanha; Kevin Pfeiffer; Weam Kanjo; Julia Alekseenko; Claas de Boer; Santhi Raj Kolamuri; Lorenzo Mazza; Nicolas Padoy; Sophia Bano; Annika Reinke; Lena Maier-Hein; Danail Stoyanov; Jakob N. Kather; Fiona R. Kolbinger; Sebastian Bodenstedt; Stefanie Speidel,cs.CV,https://arxiv.org/abs/2510.04772
Beyond the Seen: Bounded Distribution Estimation for Open-Vocabulary Learning,Xiaomeng Fan; Yuchuan Mao; Zhi Gao; Yuwei Wu; Jin Chen; Yunde Jia,cs.CV,https://arxiv.org/abs/2510.04770
When Do Credal Sets Stabilize? Fixed-Point Theorems for Credal Set Updates,Michele Caprio; Siu Lun Chau; Krikamol Muandet,N/A,https://arxiv.org/abs/2510.04769
ParallelBench: Understanding the Trade-offs of Parallel Decoding in Diffusion LLMs,Wonjun Kang; Kevin Galim; Seunghyuk Oh; Minjae Lee; Yuchen Zeng; Shuibai Zhang; Coleman Hooper; Yuezhou Hu; Hyung Il Koo; Nam Ik Cho; Kangwook Lee,N/A,https://arxiv.org/abs/2510.04767
Fisher-Bingham-like normalizing flows on the sphere,Thorsten Glüsenkamp,N/A,https://arxiv.org/abs/2510.04762
Provable Affine Identifiability of Nonlinear CCA under Latent Distributional Priors,Zhiwei Han; Stefan Matthes; Hao Shen,N/A,https://arxiv.org/abs/2510.04758
Quantum Reservoir Computing for Credit Card Default Prediction on a Neutral Atom Platform,Giacomo Vitali; Chiara Vercellino; Paolo Viviani; Olivier Terzo; Bartolomeo Montrucchio; Valeria Zaffaroni; Francesca Cibrario; Christian Mattia; Giacomo Ranieri; Alessandro Sabatino; Francesco Bonazzi; Davide Corbelletto,quant-ph,https://arxiv.org/abs/2510.04747
Speak; Edit; Repeat: High-Fidelity Voice Editing and Zero-Shot TTS with Cross-Attentive Mamba,Baher Mohammad; Magauiya Zhussip; Stamatios Lefkimmiatis,cs.SD,https://arxiv.org/abs/2510.04738
EVaR-Optimal Arm Identification in Bandits,Mehrasa Ahmadipour; Aurélien Garivier,N/A,https://arxiv.org/abs/2510.04728
Directional Sheaf Hypergraph Networks: Unifying Learning on Directed and Undirected Hypergraphs,Emanuele Mule; Stefano Fiorini; Antonio Purificato; Federico Siciliano; Stefano Coniglio; Fabrizio Silvestri,N/A,https://arxiv.org/abs/2510.04727
Predictive economics: Rethinking economic methodology with machine learning,Miguel Alves Pereira,econ.GN,https://arxiv.org/abs/2510.04726
BrokenMath: A Benchmark for Sycophancy in Theorem Proving with LLMs,Ivo Petrov; Jasper Dekoninck; Martin Vechev,cs.AI,https://arxiv.org/abs/2510.04721
BGRem: A background noise remover for astronomical images based on a diffusion model,R. Nicolaas; S. Caron; F. Stoppa; S. Bhattacharyya; R. Ruiz de Austri; P. J. Groot; A. J. Levan,astro-ph.IM,https://arxiv.org/abs/2510.04718
ViTs: Teaching Machines to See Time Series Anomalies Like Human Experts,Zexin Wang; Changhua Pei; Yang Liu; Hengyue Jiang; Quan Zhou; Haotian Si; Hang Cui; Jianhui Li; Gaogang Xie; Jingjing Li; Dan Pei,N/A,https://arxiv.org/abs/2510.04710
Multilingual Routing in Mixture-of-Experts,Lucas Bandarkar; Chenyuan Yang; Mohsen Fayyaz; Junlin Hu; Nanyun Peng,cs.CL,https://arxiv.org/abs/2510.04694
A Study on the Data Distribution Gap in Music Emotion Recognition,Joann Ching; Gerhard Widmer,cs.SD,https://arxiv.org/abs/2510.04688
How does the optimizer implicitly bias the model merging loss landscape?,Chenxiang Zhang; Alexander Theus; Damien Teney; Antonio Orvieto; Jun Pang; Sjouke Mauw,N/A,https://arxiv.org/abs/2510.04686
Parameter-free Algorithms for the Stochastically Extended Adversarial Model,Shuche Wang; Adarsh Barik; Peng Zhao; Vincent Y. F. Tan,N/A,https://arxiv.org/abs/2510.04685
Counterfactual Credit Guided Bayesian Optimization,Qiyu Wei; Haowei Wang; Richard Allmendinger; Mauricio A. Álvarez,N/A,https://arxiv.org/abs/2510.04676
Semantic Channel Equalization Strategies for Deep Joint Source-Channel Coding,Lorenzo Pannacci; Simone Fiorellino; Mario Edoardo Pandolfo; Emilio Calvanese Strinati; Paolo Di Lorenzo,N/A,https://arxiv.org/abs/2510.04674
Noise or Signal? Deconstructing Contradictions and An Adaptive Remedy for Reversible Normalization in Time Series Forecasting,Fanzhe Fu; Yang Yang,N/A,https://arxiv.org/abs/2510.04667
IMLP: An Energy-Efficient Continual Learning Method for Tabular Data Streams,Yuandou Wang; Filip Gunnarsson; Rihan Hai,N/A,https://arxiv.org/abs/2510.04660
On decomposability and subdifferential of the tensor nuclear norm,Jiewen Guan; Bo Jiang; Zhening Li,math.OC,https://arxiv.org/abs/2510.04647
Predictive Feature Caching for Training-free Acceleration of Molecular Geometry Generation,Johanna Sommer; John Rachwan; Nils Fleischmann; Stephan Günnemann; Bertrand Charpentier,N/A,https://arxiv.org/abs/2510.04646
Do Superpixel Segmentation Methods Influence Deforestation Image Classification?,Hugo Resende; Fabio A. Faria; Eduardo B. Neto; Isabela Borlido; Victor Sundermann; Silvio Jamil F. Guimarães; Álvaro L. Fazenda,cs.CV,https://arxiv.org/abs/2510.04645
Evaluating LLMs for Demographic-Targeted Social Bias Detection: A Comprehensive Benchmark Study,Ayan Majumdar; Feihao Chen; Jinghui Li; Xiaozhen Wang,cs.CL,https://arxiv.org/abs/2510.04641
Compressed Concatenation of Small Embedding Models,Mohamed Ayoub Ben Ayad; Michael Dinzinger; Kanishka Ghosh Dastidar; Jelena Mitrovic; Michael Granitzer,N/A,https://arxiv.org/abs/2510.04626
Fairness in Repeated Matching: A Maximin Perspective,Eugene Lim; Tzeh Yuan Neoh; Nicholas Teh,cs.GT,https://arxiv.org/abs/2510.04624
Forecasting-Based Biomedical Time-series Data Synthesis for Open Data and Robust AI,Youngjoon Lee; Seongmin Cho; Yehhyun Jo; Jinu Gong; Hyunjoo Jenny Lee; Joonhyuk Kang,N/A,https://arxiv.org/abs/2510.04622
Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,Qizheng Zhang; Changran Hu; Shubhangi Upasani; Boyuan Ma; Fenglu Hong; Vamsidhar Kamanuru; Jay Rainton; Chen Wu; Mengmeng Ji; Hanchen Li; Urmish Thakker; James Zou; Kunle Olukotun,N/A,https://arxiv.org/abs/2510.04618
A Case for Declarative LLM-friendly Interfaces for Improved Efficiency of Computer-Use Agents,Yuan Wang; Mingyu Li; Haibo Chen,cs.OS,https://arxiv.org/abs/2510.04607
Closed-Form Last Layer Optimization,Alexandre Galashov; Nathaël Da Costa; Liyuan Xu; Philipp Hennig; Arthur Gretton,N/A,https://arxiv.org/abs/2510.04606
Computing Wasserstein Barycenters through Gradient Flows,Eduardo Fernandes Montesuma; Yassir Bendou; Mike Gartrell,N/A,https://arxiv.org/abs/2510.04602
Data-Driven Adaptive PID Control Based on Physics-Informed Neural Networks,Junsei Ito; Yasuaki Wasa,eess.SY,https://arxiv.org/abs/2510.04591
Improved probabilistic regression using diffusion models,Carlo Kneissl; Christopher Bülte; Philipp Scholl; Gitta Kutyniok,N/A,https://arxiv.org/abs/2510.04583
Busemann Functions in the Wasserstein Space: Existence; Closed-Forms; and Applications to Slicing,Clément Bonet; Elsa Cazelles; Lucas Drumetz; Nicolas Courty,N/A,https://arxiv.org/abs/2510.04579
Language Model Based Text-to-Audio Generation: Anti-Causally Aligned Collaborative Residual Transformers,Juncheng Wang; Chao Xu; Cheng Yu; Zhe Hu; Haoyu Xie; Guoqi Yu; Lei Shang; Shujun Wang,cs.SD,https://arxiv.org/abs/2510.04577
SONA: Learning Conditional; Unconditional; and Mismatching-Aware Discriminator,Yuhta Takida; Satoshi Hayakawa; Takashi Shibuya; Masaaki Imaizumi; Naoki Murata; Bac Nguyen; Toshimitsu Uesaka; Chieh-Hsin Lai; Yuki Mitsufuji,N/A,https://arxiv.org/abs/2510.04576
LaDiR: Latent Diffusion Enhances LLMs for Text Reasoning,Haoqiang Kang; Yizhe Zhang; Nikki Lijing Kuang; Nicklas Majamaki; Navdeep Jaitly; Yi-An Ma; Lianhui Qin,N/A,https://arxiv.org/abs/2510.04573
COSMIR: Chain Orchestrated Structured Memory for Iterative Reasoning over Long Context,Naman Gupta; Shreeyash Gowaikar; Arun Iyer; Kirankumar Shiragur; Ramakrishna B Bairi; Rishikesh Maurya; Ritabrata Maiti; Sankarshan Damle; Shachee Mishra Gupta,cs.AI,https://arxiv.org/abs/2510.04568
GILT: An LLM-Free; Tuning-Free Graph Foundational Model for In-Context Learning,Weishuo Ma; Yanbo Wang; Xiyuan Wang; Lei Zou; Muhan Zhang,N/A,https://arxiv.org/abs/2510.04567
Stochastic Approximation Methods for Distortion Risk Measure Optimization,Jinyang Jiang; Bernd Heidergott; Jiaqiao Hu; Yijie Peng,N/A,https://arxiv.org/abs/2510.04563
Challenger-Based Combinatorial Bandits for Subcarrier Selection in OFDM Systems,Mohsen Amiri; V Venktesh; Sindri Magnússon,N/A,https://arxiv.org/abs/2510.04559
Gini-based Model Monitoring: A General Framework with an Application to Non-life Insurance Pricing,Alexej Brauer; Paul Menzel,N/A,https://arxiv.org/abs/2510.04556
Tail-Safe Hedging: Explainable Risk-Sensitive Reinforcement Learning with a White-Box CBF--QP Safety Layer in Arbitrage-Free Markets,Jian'an Zhang,N/A,https://arxiv.org/abs/2510.04555
Fast Witness Persistence for MRI Volumes via Hybrid Landmarking,Jorge Leonardo Ruiz Williams,cs.CG,https://arxiv.org/abs/2510.04553
Learning Linear Regression with Low-Rank Tasks in-Context,Kaito Takanami; Takashi Takahashi; Yoshiyuki Kabashima,cond-mat.dis-nn,https://arxiv.org/abs/2510.04548
Post-training quantization of vision encoders needs prefixing registers,Seunghyeon Kim; Jinho Kim; Taesun Yeom; Wonpyo Park; Kyuyeun Kim; Jaeho Lee,N/A,https://arxiv.org/abs/2510.04547
Graph-based Tabular Deep Learning Should Learn Feature Interactions; Not Just Make Predictions,Elias Dubbeldam; Reza Mohammadi; Marit Schoonhoven; S. Ilker Birbil,N/A,https://arxiv.org/abs/2510.04543
Demystifying MaskGIT Sampler and Beyond: Adaptive Order Selection in Masked Diffusion,Satoshi Hayakawa; Yuhta Takida; Masaaki Imaizumi; Hiromi Wakaki; Yuki Mitsufuji,N/A,https://arxiv.org/abs/2510.04525
Toward a Unified Geometry Understanding: Riemannian Diffusion Framework for Graph Generation and Prediction,Yisen Gao; Xingcheng Fu; Qingyun Sun; Jianxin Li; Xianxian Li,N/A,https://arxiv.org/abs/2510.04522
Quantum generative model on bicycle-sharing system and an application,Fumio Nemoto; Nobuyuki Koike; Daichi Sato; Yuuta Kawaai; Masayuki Ohzeki,quant-ph,https://arxiv.org/abs/2510.04512
Real-time Prediction of Urban Sound Propagation with Conditioned Normalizing Flows,Achim Eckerle; Martin Spitznagel; Janis Keuper,N/A,https://arxiv.org/abs/2510.04510
